usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,"[[""0.179"",""0.433"",""0.868"",""0.903""],[""0.212"",""0.371"",""0.823"",""0.965""]]","[[""0.071"",""0.258"",""0.520"",""0.783""],[""0.144"",""0.319"",""0.635"",""0.683""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,candy crush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,78.9336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,85.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,54.3809,space,20.9284,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,16.0796,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,19.8153,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,33.0325,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,48.5983,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,31.2969,l,0,4.9243,"[""0.575"",""0.433"",""0.868"",""0.903""]","[0,1,1,1]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,3.0801,"[""0.584"",""0.319"",""0.635"",""0.683""]","[0,1,1,1]",0,1,1,1,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.4027,"[""0.179"",""0.467"",""0.868"",""0.903""]","[1,0,1,1]",0,2,2,2,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,3.0139,"[""0.179"",""0.433"",""0.868"",""0.467""]","[1,1,1,0]",0,3,3,3,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,1.9704,"[""0.212"",""0.371"",""0.732"",""0.965""]","[1,1,0,1]",0,4,4,4,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.1102,"[""0.144"",""0.732"",""0.635"",""0.683""]","[1,0,1,1]",0,5,5,5,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,4.2477,"[""0.212"",""0.371"",""0.823"",""0.556""]","[1,1,1,0]",0,6,6,6,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,1.7491,"[""0.179"",""0.433"",""0.469"",""0.903""]","[1,1,0,1]",0,7,7,7,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,0.955,"[""0.032"",""0.371"",""0.823"",""0.965""]","[0,1,1,1]",0,8,8,8,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.8327,"[""0.071"",""0.473"",""0.520"",""0.783""]","[1,0,1,1]",0,9,9,9,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.0132,"[""0.472"",""0.258"",""0.520"",""0.783""]","[0,1,1,1]",0,10,10,10,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.655,"[""0.144"",""0.319"",""0.635"",""0.467""]","[1,1,1,0]",0,11,11,11,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,1.7429,"[""0.212"",""0.472"",""0.823"",""0.965""]","[1,0,1,1]",0,12,12,12,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,0.9999,"[""0.071"",""0.258"",""0.726"",""0.783""]","[1,1,0,1]",0,13,13,13,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611cf0fcb571ffef2625d948,627c6fa48879c5db26c34e0e,2022-05-12_04h25.12.280,classification_task,2021.2.3,Win32,59.9268892,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.8896,"[""0.144"",""0.319"",""0.584"",""0.683""]","[1,1,0,1]",0,14,14,14,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
