usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,"[[""0.289"",""0.339"",""0.889"",""0.943""],[""0.221"",""0.505"",""0.598"",""0.855""]]","[[""0.066"",""0.188"",""0.461"",""0.820""],[""0.134"",""0.402"",""0.539"",""0.757""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Elden Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,10.5947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,14.7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,93.1085,space,17.987,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,8.7247,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6122a9e94ab256ca93f1dd37,627c6e4460eb68556fc9d292,2022-05-12_03h35.07.718,classification_task,2021.2.3,Win32,59.97361161,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,19.0334,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
