usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,"[[""0.304"",""0.347"",""0.631"",""0.887""],[""0.202"",""0.446"",""0.793"",""0.924""]]","[[""0.078"",""0.237"",""0.576"",""0.735""],[""0.044"",""0.116"",""0.514"",""0.837""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,Do you have any form of color blindness?,,,0.7,0,No,15.4731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,17.4585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,,,,,,,,space,6.9476,space,4.9818,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,,,,,,,,,,space,4.527,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612305f2c3a79ccc85ffdf54,001,2022-04-28_21h09.50.047,classification_task,2021.2.3,Win32,59.81576744,612305f2c3a79ccc85ffdf54,626b377229c10585ec392f89,626b3abbd3839e0793b5811c,,,,,,,,,,,,,,space,5.2966,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
