usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,"[[""0.320"",""0.467"",""0.631"",""0.914""],[""0.196"",""0.363"",""0.777"",""0.955""]]","[[""0.091"",""0.268"",""0.503"",""0.835""],[""0.154"",""0.432"",""0.554"",""0.706""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,62.9046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,60.4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,70.0186,space,18.9261,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,16.7315,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123ac0a8aeae4eadc828781,627c76cd65bc5538045da41c,2022-05-12_04h54.32.861,classification_task,2021.2.3,Win32,59.54862145,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,25.0981,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
