usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,"[[""0.234"",""0.421"",""0.797"",""0.957""],[""0.288"",""0.456"",""0.672"",""0.879""]]","[[""0.126"",""0.190"",""0.632"",""0.717""],[""0.048"",""0.373"",""0.517"",""0.838""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,82.4424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,89.3808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,39.0314,space,81.4381,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,8.6946,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,35.9061,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,10.7596,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,9.1125,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,36.2246,l,1,4.6392,"[""0.048"",""0.560"",""0.517"",""0.838""]","[1,0,1,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.2688,"[""0.587"",""0.373"",""0.517"",""0.838""]","[0,1,1,1]",0,1,1,1,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.2954,"[""0.126"",""0.190"",""0.591"",""0.717""]","[1,1,0,1]",0,2,2,2,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.552"",""0.190"",""0.632"",""0.717""]","[0,1,1,1]",0,3,3,3,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,4.4089,"[""0.234"",""0.597"",""0.797"",""0.957""]","[1,0,1,1]",0,4,4,4,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.5988,"[""0.288"",""0.597"",""0.672"",""0.879""]","[1,0,1,1]",0,5,5,5,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,5.0072,"[""0.591"",""0.456"",""0.672"",""0.879""]","[0,1,1,1]",0,6,6,6,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,6.6096,"[""0.288"",""0.456"",""0.672"",""0.339""]","[1,1,1,0]",0,7,7,7,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,2.9329,"[""0.234"",""0.421"",""0.552"",""0.957""]","[1,1,0,1]",0,8,8,8,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.0817,"[""0.288"",""0.456"",""0.591"",""0.879""]","[1,1,0,1]",0,9,9,9,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.3012,"[""0.048"",""0.373"",""0.597"",""0.838""]","[1,1,0,1]",0,10,10,10,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.5638,"[""0.234"",""0.421"",""0.797"",""0.753""]","[1,1,1,0]",0,11,11,11,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.1174,"[""0.126"",""0.190"",""0.632"",""0.760""]","[1,1,1,0]",0,12,12,12,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.8336,"[""0.552"",""0.421"",""0.797"",""0.957""]","[0,1,1,1]",0,13,13,13,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.3674,"[""0.126"",""0.339"",""0.632"",""0.717""]","[1,0,1,1]",0,14,14,14,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ba4de7e2b127155f4bb03,627c6f49ad787dc47253654d,2022-05-11_21h44.29.375,classification_task,2021.2.3,Win32,60.00960154,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.4028,"[""0.048"",""0.373"",""0.517"",""0.569""]","[1,1,1,0]",0,15,15,15,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
