usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
TRUE,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,"[[""0.263"",""0.391"",""0.921"",""0.966""],[""0.167"",""0.447"",""0.847"",""0.881""]]","[[""0.118"",""0.201"",""0.482"",""0.813""],[""0.054"",""0.332"",""0.520"",""0.741""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,NEED FOR SPEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Do you have any form of color blindness?,,,0.7,0,Yes,14202.4912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,14208.6424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,space,9.8458,space,2.9405,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,3.7302,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,0.8829,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,0.433,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,2.4802,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,space,1.4698,,0,"[""0.167"",""0.447"",""0.847"",""0.566""]","[1,1,1,0]",0,0,0,0,1,0,1,,,1,FALSE,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.054"",""0.332"",""0.520"",""0.641""]","[1,1,1,0]",0,1,1,1,1,1,1,,,1,FALSE,2.6785,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.054"",""0.332"",""0.656"",""0.741""]","[1,1,0,1]",0,2,2,2,1,1,1,,,1,FALSE,7.6389,,,,,,,,,,,,,
