usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,"[[""0.177"",""0.422"",""0.754"",""0.935""],[""0.213"",""0.369"",""0.713"",""0.877""]]","[[""0.117"",""0.251"",""0.626"",""0.791""],[""0.080"",""0.301"",""0.538"",""0.833""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Monster Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,18.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,24.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,112.6539,space,10.8313,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,7.9937,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,59.1866,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,227.6767,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,14.6963,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,4.0944,l,1,3.5088,"[""0.117"",""0.251"",""0.626"",""0.464""]","[1,1,1,0]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.7109,"[""0.213"",""0.369"",""0.713"",""0.590""]","[1,1,1,0]",0,1,1,1,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.8934,"[""0.177"",""0.422"",""0.754"",""0.590""]","[1,1,1,0]",0,2,2,2,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,7.944,"[""0.177"",""0.046"",""0.754"",""0.935""]","[1,0,1,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.1995,"[""0.213"",""0.369"",""0.678"",""0.877""]","[1,1,0,1]",0,4,4,4,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,8.4086,"[""0.117"",""0.251"",""0.041"",""0.791""]","[1,1,0,1]",0,5,5,5,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ece428a05456e8c139f24,627c7479cb81e9d0f83ab706,2022-05-11_22h44.21.019,classification_task,2021.2.3,Win32,59.97720866,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.9061,"[""0.213"",""0.590"",""0.713"",""0.877""]","[1,0,1,1]",0,6,6,6,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
