usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,"[[""0.171"",""0.437"",""0.854"",""0.890""],[""0.268"",""0.388"",""0.938"",""0.975""]]","[[""0.025"",""0.316"",""0.584"",""0.722""],[""0.131"",""0.227"",""0.626"",""0.764""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,candy crush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,38.8179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,49.8899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,67.2449,space,72.8374,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,14.4609,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61316af31240db5bbfa85ce9,627c7679650aa9c67843bd12,2022-05-12_05h04.53.725,classification_task,2021.2.3,Win32,59.58410296,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,51.4368,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
