usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,"[[""0.249"",""0.549"",""0.859"",""0.968""],[""0.288"",""0.514"",""0.893"",""0.931""]]","[[""0.144"",""0.189"",""0.598"",""0.791""],[""0.056"",""0.340"",""0.634"",""0.677""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,FIFA 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,Do you have any form of color blindness?,,,0.7,0,No,22.9014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,26.3371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,space,20.4554,space,6.2858,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,space,4.7983,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,space,40.5552,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,space,17.1914,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,space,12.2982,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,,,,,,,,space,28.6456,l,1,4.9284,"[""0.751"",""0.189"",""0.598"",""0.791""]","[0,1,1,1]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,,,,,,,,,,l,1,2.6491,"[""0.144"",""0.713"",""0.598"",""0.791""]","[1,0,1,1]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a7f3c88a2c0d8087b6a5c,001,2022-04-28_20h10.12.462,classification_task,2021.2.3,Win32,60.10699044,613a7f3c88a2c0d8087b6a5c,626b377229c10585ec392f89,626b3ab12f0aeed8afb3ff50,,,,,,,,,,,,,,,,,,,,,,,a,1,3.7738,"[""0.249"",""0.751"",""0.859"",""0.968""]","[1,0,1,1]",0,2,2,2,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
