usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,"[[""0.323"",""0.559"",""0.660"",""0.930""],[""0.201"",""0.400"",""0.734"",""0.855""]]","[[""0.067"",""0.239"",""0.480"",""0.770""],[""0.156"",""0.284"",""0.438"",""0.816""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,naruto shipudden 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,48.2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,51.7618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,30.0856,space,8.2208,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,7.6718,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83dc733097c0054602df,627c698628f16fa2b9fa0fee,2022-05-11_20h58.18.027,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,12.9691,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
