usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,"[[""0.292"",""0.381"",""0.613"",""0.949""],[""0.196"",""0.486"",""0.846"",""0.881""]]","[[""0.077"",""0.238"",""0.551"",""0.782""],[""0.123"",""0.330"",""0.452"",""0.703""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Fortnite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,18.1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,19.8022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,21.0144,space,5.8363,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,6.3911,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,14.6015,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,19.2537,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,10.9564,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,14.9736,,0,"[""0.196"",""0.647"",""0.846"",""0.881""]","[1,0,1,1]",0,0,0,0,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.028"",""0.486"",""0.846"",""0.881""]","[0,1,1,1]",0,1,1,1,1,0,1,,,1,FALSE,7.9225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.292"",""0.162"",""0.613"",""0.949""]","[1,0,1,1]",0,2,2,2,1,0,0,,,1,FALSE,8.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.292"",""0.381"",""0.613"",""0.657""]","[1,1,1,0]",0,3,3,3,1,0,0,,,1,FALSE,8.6849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.158"",""0.330"",""0.452"",""0.703""]","[0,1,1,1]",0,4,4,4,1,1,1,,,1,FALSE,5.4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.330"",""0.452"",""0.657""]","[1,1,1,0]",0,5,5,5,1,1,1,,,1,FALSE,8.6819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.746"",""0.381"",""0.613"",""0.949""]","[0,1,1,1]",0,6,6,6,1,0,0,,,1,FALSE,9.3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.656"",""0.238"",""0.551"",""0.782""]","[0,1,1,1]",0,7,7,7,1,1,0,,,1,FALSE,7.9944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a86d8c415990ab17ad4d3,627c676016f9dec1b2e31be1,2022-05-11_20h48.40.226,classification_task,2021.2.3,Win32,75.0131273,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.656"",""0.452"",""0.703""]","[1,0,1,1]",0,8,8,8,1,1,1,,,1,FALSE,7.1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
