usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,"[[""0.189"",""0.508"",""0.818"",""0.856""],[""0.224"",""0.367"",""0.894"",""0.929""]]","[[""0.111"",""0.304"",""0.549"",""0.698""],[""0.050"",""0.259"",""0.451"",""0.769""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Call of Duty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,Do you have any form of color blindness?,,,0.7,0,No,90.1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,91.5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,,,,,,,,space,73.0261,space,14.2847,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,,,,,,,,,,space,13.269,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a97eb7b538ffbbc132c24,001,2022-04-28_20h13.22.340,classification_task,2021.2.3,Win32,60.0024001,613a97eb7b538ffbbc132c24,626b377229c10585ec392f89,626b3ac0a550e3a616c6f8df,,,,,,,,,,,,,,space,48.8299,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
