usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,"[[""0.184"",""0.398"",""0.845"",""0.897""],[""0.218"",""0.547"",""0.935"",""0.973""]]","[[""0.120"",""0.263"",""0.437"",""0.708""],[""0.079"",""0.329"",""0.497"",""0.771""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Bioshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,Do you have any form of color blindness?,,,0.7,0,No,15.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,15.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,space,1.6301,space,17.1655,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,space,30.2197,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,space,43.675,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
