usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,"[[""0.254"",""0.364"",""0.791"",""0.896""],[""0.165"",""0.494"",""0.931"",""0.964""]]","[[""0.106"",""0.203"",""0.538"",""0.832""],[""0.048"",""0.301"",""0.662"",""0.745""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,fortnite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,26.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,30.8904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,41.962,space,9.6307,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,11.9641,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9993f8d711db96ca71ea,627c6e245151c660d6b11738,2022-05-11_21h20.57.415,classification_task,2021.2.3,Win32,62.53126563,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,20.6294,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
