usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,"[[""0.319"",""0.458"",""0.684"",""0.951""],[""0.269"",""0.366"",""0.764"",""0.908""]]","[[""0.049"",""0.095"",""0.494"",""0.843""],[""0.155"",""0.415"",""0.639"",""0.798""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,15.8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,18.2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,28.3542,space,9.5507,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,14.8697,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9a0390a4c691677c1440,627c6fea7c7998991554a6bc,2022-05-11_20h25.02.313,classification_task,2021.2.3,Win32,60.72382803,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,14.8751,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
