usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,"[[""0.319"",""0.417"",""0.911"",""0.946""],[""0.266"",""0.455"",""0.732"",""0.876""]]","[[""0.039"",""0.373"",""0.523"",""0.674""],[""0.131"",""0.205"",""0.569"",""0.788""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,halo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,18.7076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,21.9077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,2.2226,space,9.6346,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.3143,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9b39928d81d5ce5a3f7c,627c6f14ee332063830f24ac,2022-05-11_21h21.41.994,classification_task,2021.2.3,Win32,40.01440519,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,13.4849,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
