usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial
TRUE,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,"[[""0.281"",""0.521"",""0.626"",""0.857""],[""0.205"",""0.342"",""0.755"",""0.892""]]","[[""0.028"",""0.424"",""0.569"",""0.710""],[""0.073"",""0.134"",""0.480"",""0.810""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,21.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,24.5429,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,32.6823,space,7.9708,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,10.143,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,613a9e893fdf30f88463451f,627c75806e59c87c2e5f30c7,2022-05-11_21h48.19.383,classification_task,2021.2.3,Win32,29.99760019,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,16.3697,2,0,2,0,1,,,,,,,,,,,,,,,,,,
