usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,"[[""0.225"",""0.348"",""0.651"",""0.920""],[""0.190"",""0.386"",""0.846"",""0.884""]]","[[""0.060"",""0.289"",""0.580"",""0.702""],[""0.135"",""0.434"",""0.509"",""0.760""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,"fifa, clash royale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,66.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,69.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,37.064,space,6.782,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,8.639,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,21.217,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,6.339,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,11.592,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,12.177,l,1,3.195,"[""0.135"",""0.807"",""0.509"",""0.760""]","[1,0,1,1]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.451,"[""0.190"",""0.386"",""0.846"",""0.963""]","[1,1,1,0]",0,1,1,1,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9e8e0795eac100d865bb,627c7655f8c71d8cfd8687b1,2022-05-11_21h53.23.972,classification_task,2021.2.3,MacIntel,62.5,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.393,"[""0.468"",""0.434"",""0.509"",""0.760""]","[0,1,1,1]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
