usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,"[[""0.182"",""0.405"",""0.873"",""0.953""],[""0.294"",""0.452"",""0.733"",""0.910""]]","[[""0.092"",""0.217"",""0.496"",""0.830""],[""0.058"",""0.127"",""0.565"",""0.693""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Valorant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.5652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,27.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,space,89.7112,space,7.9508,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,space,25.2842,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,space,20.1676,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,space,12.0666,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,space,15.4168,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,space,8.3993,a,0,3.5333,"[""0.092"",""0.344"",""0.496"",""0.830""]","[1,0,1,1]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,1,2.6498,"[""0.780"",""0.405"",""0.873"",""0.953""]","[0,1,1,1]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,0,1.633,"[""0.058"",""0.127"",""0.565"",""0.606""]","[1,1,1,0]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,1,1.7325,"[""0.092"",""0.217"",""0.796"",""0.830""]","[1,1,0,1]",0,3,3,3,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,1,3.2158,"[""0.294"",""0.452"",""0.606"",""0.910""]","[1,1,0,1]",0,4,4,4,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,1,1.6668,"[""0.182"",""0.405"",""0.366"",""0.953""]","[1,1,0,1]",0,5,5,5,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,0,3.0326,"[""0.092"",""0.217"",""0.496"",""0.346""]","[1,1,1,0]",0,6,6,6,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,1,2.2997,"[""0.058"",""0.630"",""0.565"",""0.693""]","[1,0,1,1]",0,7,7,7,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,0,1.467,"[""0.294"",""0.788"",""0.733"",""0.910""]","[1,0,1,1]",0,8,8,8,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,0,3.7661,"[""0.182"",""0.344"",""0.873"",""0.953""]","[1,0,1,1]",0,9,9,9,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,1,1.9337,"[""0.294"",""0.452"",""0.733"",""0.346""]","[1,1,1,0]",0,10,10,10,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,1,1.7833,"[""0.606"",""0.217"",""0.496"",""0.830""]","[0,1,1,1]",0,11,11,11,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,1,3.2828,"[""0.339"",""0.452"",""0.733"",""0.910""]","[0,1,1,1]",0,12,12,12,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,0,0.9162,"[""0.182"",""0.405"",""0.873"",""0.777""]","[1,1,1,0]",0,13,13,13,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6159,"[""0.366"",""0.127"",""0.565"",""0.693""]","[0,1,1,1]",0,14,14,14,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,1,1.1999,"[""0.058"",""0.127"",""0.646"",""0.693""]","[1,1,0,1]",0,15,15,15,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,a,0,1.1666,"[""0.092"",""0.217"",""0.496"",""0.638""]","[1,1,1,0]",0,16,16,16,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa0162f4662712a517461,001,2022-04-28_20h11.24.092,classification_task,2021.2.3,Win32,60.09615385,613aa0162f4662712a517461,626b377229c10585ec392f89,626b3b0d0cf54eb8b1304e57,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6831,"[""0.058"",""0.630"",""0.565"",""0.693""]","[1,0,1,1]",0,17,17,17,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
