usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,"[[""0.320"",""0.389"",""0.571"",""0.889""],[""0.199"",""0.484"",""0.850"",""0.956""]]","[[""0.030"",""0.275"",""0.636"",""0.806""],[""0.071"",""0.234"",""0.521"",""0.742""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,Do you have any form of color blindness?,,,0.7,0,No,17.9042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,21.9257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,,,,,,,,space,37.836,space,10.6578,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,,,,,,,,,,space,15.2439,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613aa96038862e4f29605ade,001,2022-04-28_20h07.05.120,classification_task,2021.2.3,Win32,60.53635208,613aa96038862e4f29605ade,626b377229c10585ec392f89,626b3a1fe3fbd43542785a2a,,,,,,,,,,,,,,space,42.1622,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
