usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,"[[""0.300"",""0.445"",""0.917"",""0.951""],[""0.238"",""0.337"",""0.729"",""0.882""]]","[[""0.083"",""0.142"",""0.485"",""0.842""],[""0.040"",""0.384"",""0.555"",""0.791""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Free Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,44.1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,46.8235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,21.5238,space,6.3965,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,6.7324,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,99.6798,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,1172.0679,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,35.52,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,32.5164,a,1,5.0653,"[""0.300"",""0.445"",""0.917"",""0.521""]","[1,1,1,0]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.9608,"[""0.040"",""0.521"",""0.555"",""0.791""]","[1,0,1,1]",0,1,1,1,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,9.9127,"[""0.667"",""0.142"",""0.485"",""0.842""]","[0,1,1,1]",0,2,2,2,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613bce8ce65bd067beb06b5c,627c68ca2b63c792d89a88cf,2022-05-11_20h55.22.973,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.9851,"[""0.083"",""0.142"",""0.202"",""0.842""]","[1,1,0,1]",0,3,3,3,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
