usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,"[[""0.305"",""0.546"",""0.918"",""0.965""],[""0.164"",""0.446"",""0.844"",""0.878""]]","[[""0.114"",""0.397"",""0.581"",""0.710""],[""0.077"",""0.216"",""0.505"",""0.748""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,31.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,37.1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,30.6841,space,6.8411,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,9.5624,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613c0bbec55231d8e1697bd7,627c6f4987fb4fd63b5b431b,2022-05-11_21h22.35.363,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.2758,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
