usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,"[[""0.195"",""0.417"",""0.890"",""0.940""],[""0.236"",""0.365"",""0.590"",""0.974""]]","[[""0.094"",""0.142"",""0.628"",""0.826""],[""0.056"",""0.288"",""0.538"",""0.764""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,18.1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,28.1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,26.2217,space,6.56,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,7.3603,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d25aae4f98b5e481fca50,627c76d165bc5538045da41d,2022-05-11_19h54.26.569,classification_task,2021.2.3,Win32,60.10699044,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,10.4631,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
