usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,"[[""0.315"",""0.503"",""0.660"",""0.857""],[""0.274"",""0.446"",""0.907"",""0.973""]]","[[""0.094"",""0.224"",""0.614"",""0.733""],[""0.055"",""0.137"",""0.574"",""0.784""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,Do you have any form of color blindness?,,,0.7,0,No,45.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,50.5959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,space,162.6751,space,9.161,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,space,13.4424,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,space,37.9236,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,space,16.3445,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,space,77.5038,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,space,35.6205,,0,"[""0.315"",""0.820"",""0.660"",""0.857""]","[1,0,1,1]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.274"",""0.379"",""0.907"",""0.973""]","[1,0,1,1]",0,1,1,1,1,0,1,,,0,FALSE,3.9446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.395"",""0.503"",""0.660"",""0.857""]","[0,1,1,1]",0,2,2,2,1,0,0,,,0,FALSE,3.5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.274"",""0.446"",""0.907"",""0.190""]","[1,1,1,0]",0,3,3,3,1,0,1,,,0,FALSE,3.5905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.055"",""0.393"",""0.574"",""0.784""]","[1,0,1,1]",0,4,4,4,1,1,1,,,0,FALSE,6.4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.094"",""0.188"",""0.614"",""0.733""]","[1,0,1,1]",0,5,5,5,1,1,0,,,0,FALSE,5.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.055"",""0.137"",""0.406"",""0.784""]","[1,1,0,1]",0,6,6,6,1,1,1,,,0,FALSE,3.1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.274"",""0.446"",""0.190"",""0.973""]","[1,1,0,1]",0,7,7,7,1,0,1,,,0,FALSE,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.315"",""0.503"",""0.386"",""0.857""]","[1,1,0,1]",0,8,8,8,1,0,0,,,0,FALSE,4.0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.386"",""0.446"",""0.907"",""0.973""]","[0,1,1,1]",0,9,9,9,1,0,1,,,0,FALSE,4.0792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.094"",""0.224"",""0.388"",""0.733""]","[1,1,0,1]",0,10,10,10,1,1,0,,,0,FALSE,3.3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.315"",""0.503"",""0.660"",""0.820""]","[1,1,1,0]",0,11,11,11,1,0,0,,,0,FALSE,3.9515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.388"",""0.137"",""0.574"",""0.784""]","[0,1,1,1]",0,12,12,12,1,1,1,,,0,FALSE,3.5629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.055"",""0.137"",""0.574"",""0.395""]","[1,1,1,0]",0,13,13,13,1,1,1,,,0,FALSE,2.2879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.094"",""0.224"",""0.614"",""0.393""]","[1,1,1,0]",0,14,14,14,1,1,0,,,0,FALSE,4.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.388"",""0.224"",""0.614"",""0.733""]","[0,1,1,1]",0,15,15,15,1,1,0,,,0,FALSE,2.8534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.190"",""0.224"",""0.614"",""0.733""]","[0,1,1,1]",0,16,16,16,1,1,0,,,0,FALSE,6.1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.094"",""0.393"",""0.614"",""0.733""]","[1,0,1,1]",0,17,17,17,1,1,0,,,0,FALSE,3.1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.274"",""0.446"",""0.907"",""0.393""]","[1,1,1,0]",0,18,18,18,1,0,1,,,0,FALSE,3.6082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.055"",""0.367"",""0.574"",""0.784""]","[1,0,1,1]",0,19,19,19,1,1,1,,,0,FALSE,1.8683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.055"",""0.137"",""0.574"",""0.386""]","[1,1,1,0]",0,20,20,20,1,1,1,,,0,FALSE,2.3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.386"",""0.503"",""0.660"",""0.857""]","[0,1,1,1]",0,21,21,21,1,0,0,,,0,FALSE,5.6571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.274"",""0.446"",""0.377"",""0.973""]","[1,1,0,1]",0,22,22,22,1,0,1,,,0,FALSE,4.7579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.094"",""0.224"",""0.614"",""0.188""]","[1,1,1,0]",0,23,23,23,1,1,0,,,0,FALSE,2.8134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.393"",""0.137"",""0.574"",""0.784""]","[0,1,1,1]",0,24,24,24,1,1,1,,,0,FALSE,2.8605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.055"",""0.137"",""0.188"",""0.784""]","[1,1,0,1]",0,25,25,25,1,1,1,,,0,FALSE,2.5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.094"",""0.224"",""0.190"",""0.733""]","[1,1,0,1]",0,26,26,26,1,1,0,,,0,FALSE,2.4618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.315"",""0.503"",""0.660"",""0.190""]","[1,1,1,0]",0,27,27,27,1,0,0,,,0,FALSE,2.6164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.315"",""0.503"",""0.386"",""0.857""]","[1,1,0,1]",0,28,28,28,1,0,0,,,0,FALSE,1.7994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.315"",""0.388"",""0.660"",""0.857""]","[1,0,1,1]",0,29,29,29,1,0,0,,,0,FALSE,2.8673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d45bab7d3d7088986829f,001,2022-04-28_20h16.09.615,classification_task,2021.2.3,Win32,60.24822268,613d45bab7d3d7088986829f,626b377229c10585ec392f8a,626b3a9f79a56aa03a14ab38,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.274"",""0.388"",""0.907"",""0.973""]","[1,0,1,1]",0,30,30,30,1,0,1,,,0,FALSE,2.5955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
