usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,"[[""0.241"",""0.415"",""0.883"",""0.973""],[""0.186"",""0.454"",""0.623"",""0.928""]]","[[""0.039"",""0.095"",""0.565"",""0.841""],[""0.129"",""0.307"",""0.670"",""0.776""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Call of Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,33.2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,34.8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,31.0609,space,7.0067,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,5.859,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,14.0009,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.9861,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,11.4535,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,165.9952,a,0,3.511,"[""0.129"",""0.705"",""0.670"",""0.776""]","[1,0,1,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,3.2094,"[""0.039"",""0.095"",""0.359"",""0.841""]","[1,1,0,1]",0,1,1,1,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.8594,"[""0.504"",""0.095"",""0.565"",""0.841""]","[0,1,1,1]",0,2,2,2,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.4457,"[""0.129"",""0.307"",""0.705"",""0.776""]","[1,1,0,1]",0,3,3,3,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.4688,"[""0.129"",""0.307"",""0.670"",""0.502""]","[1,1,1,0]",0,4,4,4,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613d7f06231b0dca788663fd,627c6faa1fed89d5bf0f58c0,2022-05-11_21h26.24.521,classification_task,2021.2.3,Win32,59.91252771,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.711,"[""0.241"",""0.415"",""0.883"",""0.504""]","[1,1,1,0]",0,5,5,5,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
