usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,"[[""0.262"",""0.472"",""0.649"",""0.858""],[""0.229"",""0.409"",""0.906"",""0.965""]]","[[""0.130"",""0.306"",""0.595"",""0.800""],[""0.062"",""0.195"",""0.561"",""0.729""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Mabinogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,39.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,42.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,24.1044,space,7.9159,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.0353,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613da2f481d2755038340eee,627c693d394be32478599400,2022-05-11_20h56.27.225,classification_task,2021.2.3,Win32,59.95563283,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,25.9102,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
