usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial
TRUE,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,"[[""0.195"",""0.348"",""0.645"",""0.851""],[""0.304"",""0.499"",""0.895"",""0.932""]]","[[""0.091"",""0.267"",""0.593"",""0.681""],[""0.044"",""0.409"",""0.444"",""0.776""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Fortnite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,Do you have any form of color blindness?,,,0.7,0,No,10.0772,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,10.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,,,,,,,,space,18.7408,space,3.7811,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,,,,,,,,,,space,5.216,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,,,,,,,,,,space,10.0672,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,,,,,,,,,,space,6.9337,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,,,,,,,,,,space,0.9632,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,613e41e32b283bcc973c4486,001,2022-04-28_20h04.56.711,classification_task,2021.2.3,MacIntel,60.0024001,613e41e32b283bcc973c4486,626b377229c10585ec392f89,626b39877ff8ab2b243d47ef,,,,,,,,,,,,,,,,,,,,,space,0.663,a,0,1.959,"[""0.044"",""0.812"",""0.444"",""0.776""]","[1,0,1,1]",0,0,0,0,1,1,1,,,1,FALSE
