usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,"[[""0.280"",""0.360"",""0.640"",""0.938""],[""0.163"",""0.524"",""0.772"",""0.886""]]","[[""0.084"",""0.414"",""0.587"",""0.688""],[""0.129"",""0.229"",""0.468"",""0.827""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Call of Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,60.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,84.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,243.034,space,14.423,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,18.109,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613e9c281943d22f4b6ed4c6,627c6fbb6863809235f422cf,2022-05-11_21h24.33.281,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,39.296,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
