usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,"[[""0.251"",""0.527"",""0.878"",""0.949""],[""0.200"",""0.421"",""0.671"",""0.913""]]","[[""0.085"",""0.289"",""0.619"",""0.739""],[""0.027"",""0.360"",""0.470"",""0.813""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,minecraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,64.4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,67.3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,73.0062,space,10.5268,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,19.2637,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,55.2564,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,9.9676,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.9416,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,15.5825,,0,"[""0.200"",""0.421"",""0.132"",""0.913""]","[1,1,0,1]",0,0,0,0,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,0,"[""0.251"",""0.527"",""0.147"",""0.949""]","[1,1,0,1]",0,1,1,1,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.251"",""0.527"",""0.878"",""0.122""]","[1,1,1,0]",0,2,2,2,1,0,0,,,0,FALSE,3.8577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.085"",""0.563"",""0.619"",""0.739""]","[1,0,1,1]",0,3,3,3,1,1,0,,,0,FALSE,6.1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.085"",""0.289"",""0.619"",""0.146""]","[1,1,1,0]",0,4,4,4,1,1,0,,,0,FALSE,4.9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.569"",""0.360"",""0.470"",""0.813""]","[0,1,1,1]",0,5,5,5,1,1,1,,,0,FALSE,6.9781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.027"",""0.568"",""0.470"",""0.813""]","[1,0,1,1]",0,6,6,6,1,1,1,,,0,FALSE,4.8751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613fb1f6fc794e7fc4059b8f,627c6fcbc97af1b5a3f18d90,2022-05-11_21h25.24.739,classification_task,2021.2.3,Win32,59.70862193,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.200"",""0.777"",""0.671"",""0.913""]","[1,0,1,1]",0,7,7,7,1,0,1,,,0,FALSE,7.2738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
