usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,"[[""0.311"",""0.433"",""0.754"",""0.960""],[""0.220"",""0.379"",""0.874"",""0.925""]]","[[""0.040"",""0.274"",""0.485"",""0.805""],[""0.113"",""0.147"",""0.608"",""0.700""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Call of Duty Modern Warfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,55.2482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,60.8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,45.2849,space,8.2314,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,10.0661,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614399341d2f0bcb5fe49a91,627c674c603f29916a438aef,2022-05-11_20h48.19.147,classification_task,2021.2.3,Win32,144.7178003,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,15.6638,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
