usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,"[[""0.186"",""0.398"",""0.624"",""0.933""],[""0.233"",""0.476"",""0.721"",""0.972""]]","[[""0.150"",""0.354"",""0.534"",""0.785""],[""0.082"",""0.309"",""0.588"",""0.841""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,Do you have any form of color blindness?,,,0.7,0,No,19.1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,24.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,,,,,,,,space,27.3378,space,7.3626,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,,,,,,,,,,space,5.5005,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147974c3f998d226b9a11be,001,2022-04-28_20h12.41.000,classification_task,2021.2.3,MacIntel,60.0024001,6147974c3f998d226b9a11be,626b377229c10585ec392f8a,626b3b681008a24f06614200,,,,,,,,,,,,,,space,29.5812,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
