usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,"[[""0.298"",""0.389"",""0.696"",""0.967""],[""0.166"",""0.559"",""0.882"",""0.920""]]","[[""0.085"",""0.202"",""0.451"",""0.773""],[""0.120"",""0.342"",""0.499"",""0.831""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Ghost of Tushima ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,42.5869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,47.5684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,41.2158,space,7.6793,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.6123,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e7a5723727bcc34f0060f,627c76a5bdfc295d252d40bc,2022-05-11_19h53.46.737,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,13.7,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
