usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,"[[""0.271"",""0.362"",""0.770"",""0.871""],[""0.229"",""0.396"",""0.913"",""0.948""]]","[[""0.120"",""0.187"",""0.645"",""0.713""],[""0.061"",""0.432"",""0.524"",""0.837""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,valorant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,26.3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,30.0827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,20.8083,space,15.1252,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.3255,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614e8000c429207c056429a2,627c6df6b0561b42c028cb17,2022-05-11_21h16.33.790,classification_task,2021.2.3,Win32,60.28090904,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,14.0398,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
