usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,"[[""0.221"",""0.374"",""0.886"",""0.929""],[""0.304"",""0.480"",""0.849"",""0.963""]]","[[""0.031"",""0.269"",""0.545"",""0.809""],[""0.143"",""0.431"",""0.616"",""0.751""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Halo Infinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,30.9696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,36.9892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,44.6966,space,10.2953,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,198.9522,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,60.6944,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,25.5143,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,43.164,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,17.4493,l,0,7.7574,"[""0.221"",""0.374"",""0.886"",""0.087""]","[1,1,1,0]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.31,"[""0.304"",""0.480"",""0.655"",""0.963""]","[1,1,0,1]",0,1,1,1,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,1.204,"[""0.304"",""0.480"",""0.849"",""0.184""]","[1,1,1,0]",0,2,2,2,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,0.8011,"[""0.143"",""0.338"",""0.616"",""0.751""]","[1,0,1,1]",0,3,3,3,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,0.6589,"[""0.221"",""0.374"",""0.706"",""0.929""]","[1,1,0,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,0.3834,"[""0.031"",""0.670"",""0.545"",""0.809""]","[1,0,1,1]",0,5,5,5,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,0.2009,"[""0.688"",""0.374"",""0.886"",""0.929""]","[0,1,1,1]",0,6,6,6,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,0.0505,"[""0.031"",""0.269"",""0.545"",""0.695""]","[1,1,1,0]",0,7,7,7,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,3.7001,"[""0.087"",""0.269"",""0.545"",""0.809""]","[0,1,1,1]",0,8,8,8,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.7237,"[""0.031"",""0.269"",""0.104"",""0.809""]","[1,1,0,1]",0,9,9,9,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61507d436ab12ee98422756d,627c673be82f5864b6507aaa,2022-05-11_20h54.05.700,classification_task,2021.2.3,Win32,60.0276127,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,3.6812,"[""0.304"",""0.184"",""0.849"",""0.963""]","[1,0,1,1]",0,10,10,10,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
