usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,"[[""0.307"",""0.547"",""0.620"",""0.916""],[""0.240"",""0.404"",""0.873"",""0.974""]]","[[""0.104"",""0.157"",""0.503"",""0.768""],[""0.039"",""0.371"",""0.438"",""0.840""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,60.4643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,73.9041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,62.3577,space,12.8934,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,16.7548,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150d2ed1dc4cc1cdb2543bc,627c691daa577bac05652e73,2022-05-11_20h56.15.086,classification_task,2021.2.3,Win32,143.9677512,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,24.203,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
