usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,"[[""0.230"",""0.468"",""0.682"",""0.958""],[""0.193"",""0.345"",""0.794"",""0.890""]]","[[""0.080"",""0.272"",""0.556"",""0.739""],[""0.146"",""0.401"",""0.606"",""0.832""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Mario Kart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,Do you have any form of color blindness?,,,0.7,0,No,20.7918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,22.4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,,,,,,,,space,62.1463,space,5.9178,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,,,,,,,,,,space,6.042,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150f261fe1008f1821fc477,001,2022-04-28_20h12.18.643,classification_task,2021.2.3,Win32,59.96282305,6150f261fe1008f1821fc477,626b377229c10585ec392f8a,626b3b3dcbee662a42b28d23,,,,,,,,,,,,,,space,16.3727,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
