usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,"[[""0.254"",""0.486"",""0.881"",""0.917""],[""0.158"",""0.398"",""0.847"",""0.958""]]","[[""0.110"",""0.197"",""0.539"",""0.723""],[""0.059"",""0.303"",""0.599"",""0.810""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,ludo online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,Do you have any form of color blindness?,,,0.7,0,No,32.6994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,36.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,,,,,,,,space,39.3685,space,6.8145,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,,,,,,,,,,space,21.5708,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,,,,,,,,,,space,41.8688,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,,,,,,,,,,space,10.505,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,,,,,,,,,,space,12.6016,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6151d44b37b6d4d1f414a2c6,001,2022-04-28_20h06.45.352,classification_task,2021.2.3,Win32,29.94639595,6151d44b37b6d4d1f414a2c6,626b377229c10585ec392f8a,626b39cf40087ce01978a331,,,,,,,,,,,,,,,,,,,,,space,19.7656,l,1,4.5061,"[""0.059"",""0.452"",""0.599"",""0.810""]","[1,0,1,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
