usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,"[[""0.240"",""0.429"",""0.602"",""0.916""],[""0.158"",""0.500"",""0.837"",""0.954""]]","[[""0.070"",""0.274"",""0.665"",""0.732""],[""0.109"",""0.372"",""0.553"",""0.783""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Grand Theft Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,38.8332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,44.2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,40.1516,space,17.2053,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,32.4234,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61533302fdfe81f8a0ebe0c0,627c6fa0466067882ffca345,2022-05-12_04h23.59.521,classification_task,2021.2.3,Win32,60.16485169,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,53.9203,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
