usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,"[[""0.215"",""0.351"",""0.798"",""0.876""],[""0.172"",""0.403"",""0.925"",""0.969""]]","[[""0.038"",""0.263"",""0.448"",""0.750""],[""0.138"",""0.310"",""0.630"",""0.702""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,overcooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,Do you have any form of color blindness?,,,0.7,0,No,26.5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,30.6475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,space,23.9215,space,6.4132,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,space,6.5909,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,space,15.7099,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,space,14.9746,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,space,12.6921,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,,,,,,,,space,15.4517,a,1,6.6974,"[""0.172"",""0.532"",""0.925"",""0.969""]","[1,0,1,1]",0,0,0,0,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,,,,,,,,,,a,1,9.9201,"[""0.215"",""0.558"",""0.798"",""0.876""]","[1,0,1,1]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,,,,,,,,,,l,1,4.0629,"[""0.038"",""0.558"",""0.448"",""0.750""]","[1,0,1,1]",0,2,2,2,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,,,,,,,,,,a,1,9.545,"[""0.172"",""0.403"",""0.925"",""0.087""]","[1,1,1,0]",0,3,3,3,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61577fbbc195adfb13f6c45f,001,2022-04-28_19h58.10.650,classification_task,2021.2.3,Win32,59.54153022,61577fbbc195adfb13f6c45f,626b377229c10585ec392f8a,626b37db13a9fc669217ae45,,,,,,,,,,,,,,,,,,,,,,,l,1,6.7958,"[""0.584"",""0.263"",""0.448"",""0.750""]","[0,1,1,1]",0,4,4,4,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
