usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,"[[""0.317"",""0.530"",""0.890"",""0.929""],[""0.179"",""0.485"",""0.700"",""0.963""]]","[[""0.030"",""0.371"",""0.437"",""0.761""],[""0.144"",""0.250"",""0.597"",""0.843""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,minecraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,27.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,,,,,,,,space,112.769,space,7.9097,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,,,,,,,,,,space,9.8204,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615b4d67bd21e66571f5581b,001,2022-04-28_20h17.01.580,classification_task,2021.2.3,MacIntel,60.0024001,615b4d67bd21e66571f5581b,626b377229c10585ec392f8a,626b3c7510b7b3eb45797a05,,,,,,,,,,,,,,space,28.2992,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
