usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,"[[""0.309"",""0.534"",""0.848"",""0.926""],[""0.272"",""0.393"",""0.738"",""0.960""]]","[[""0.096"",""0.195"",""0.589"",""0.691""],[""0.151"",""0.356"",""0.460"",""0.799""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,Do you have any form of color blindness?,,,0.7,0,No,15.9974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,22.2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,space,46.3151,space,9.1026,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,space,11.2912,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,space,38.4728,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,space,12.2406,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,space,16.7096,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,,,,,,,,space,22.1371,a,1,6.4831,"[""0.886"",""0.393"",""0.738"",""0.960""]","[0,1,1,1]",0,0,0,0,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,,,,,,,,,,a,1,4.3762,"[""0.309"",""0.534"",""0.886"",""0.926""]","[1,1,0,1]",0,1,1,1,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,615f6dca1da7995918234a64,001,2022-04-28_20h06.02.830,classification_task,2021.2.3,MacIntel,59.99880002,615f6dca1da7995918234a64,626b377229c10585ec392f8a,626b39ebd2ec00a3a3c1f203,,,,,,,,,,,,,,,,,,,,,,,l,1,2.2865,"[""0.096"",""0.888"",""0.589"",""0.691""]","[1,0,1,1]",0,2,2,2,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
