usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,"[[""0.262"",""0.485"",""0.912"",""0.945""],[""0.172"",""0.564"",""0.662"",""0.876""]]","[[""0.037"",""0.384"",""0.525"",""0.843""],[""0.130"",""0.302"",""0.450"",""0.769""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Valorant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,357.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,357.5597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,31.2104,space,9.3903,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,16.8662,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,34.2341,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,11.3741,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,16.9005,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,132.9147,l,1,9.3144,"[""0.037"",""0.727"",""0.525"",""0.843""]","[1,0,1,1]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.172"",""0.564"",""0.662"",""0.093""]","[1,1,1,0]",0,1,1,1,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.727"",""0.302"",""0.450"",""0.769""]","[0,1,1,1]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.6675,"[""0.262"",""0.206"",""0.912"",""0.945""]","[1,0,1,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,9.0512,"[""0.262"",""0.485"",""0.084"",""0.945""]","[1,1,0,1]",0,4,4,4,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.7788,"[""0.621"",""0.485"",""0.912"",""0.945""]","[0,1,1,1]",0,5,5,5,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61634ea5478b2d1e072e8353,627c6fdcd1967c145333bea7,2022-05-11_21h40.40.588,classification_task,2021.2.3,Win32,59.52380952,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.5087,"[""0.262"",""0.485"",""0.912"",""0.731""]","[1,1,1,0]",0,6,6,6,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
