usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,"[[""0.301"",""0.431"",""0.867"",""0.923""],[""0.206"",""0.535"",""0.583"",""0.962""]]","[[""0.092"",""0.390"",""0.637"",""0.797""],[""0.153"",""0.251"",""0.472"",""0.755""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,fifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,26.6965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,28.1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,44.5466,space,14.0848,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,15.7499,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61675e387230291cabc16e5c,627c6f89c4b340b9030cafe9,2022-05-11_19h41.19.187,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,18.5483,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
