usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,globalClockTime,userAgent,manualCondition
TRUE,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,"[[""0.322"",""0.511"",""0.881"",""0.957""],[""0.198"",""0.471"",""0.621"",""0.922""]]","[[""0.029"",""0.407"",""0.557"",""0.822""],[""0.103"",""0.162"",""0.672"",""0.768""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,call of duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,98.7237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,101.4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,76.2054,space,18.4215,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,11.7475,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,52.7603,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
