usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,"[[""0.159"",""0.564"",""0.603"",""0.975""],[""0.199"",""0.478"",""0.857"",""0.927""]]","[[""0.025"",""0.331"",""0.516"",""0.801""],[""0.114"",""0.242"",""0.646"",""0.755""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Sudoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,94.8556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,103.3418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,158.1254,space,22.3896,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,13.8051,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616c2e23cdae23ccf15ae162,627c6f4f4c8ad494b268f9d8,2022-05-12_04h26.05.370,classification_task,2021.2.3,Win32,48.56726566,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,70.4123,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
