usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,"[[""0.223"",""0.548"",""0.869"",""0.903""],[""0.321"",""0.503"",""0.937"",""0.971""]]","[[""0.095"",""0.402"",""0.652"",""0.811""],[""0.031"",""0.188"",""0.590"",""0.690""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,Do you have any form of color blindness?,,,0.7,0,No,26.0924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,27.5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,space,32.3319,space,13.6078,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,space,13.5571,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,space,45.7208,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,space,6.1815,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,space,12.5812,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,space,14.8471,,0,"[""0.463"",""0.548"",""0.869"",""0.903""]","[0,1,1,1]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.321"",""0.259"",""0.937"",""0.971""]","[1,0,1,1]",0,1,1,1,1,0,1,,,0,FALSE,6.1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.223"",""0.548"",""0.148"",""0.903""]","[1,1,0,1]",0,2,2,2,1,0,0,,,0,FALSE,4.2287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.031"",""0.188"",""0.590"",""0.739""]","[1,1,1,0]",0,3,3,3,1,1,1,,,0,FALSE,5.3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.321"",""0.503"",""0.937"",""0.730""]","[1,1,1,0]",0,4,4,4,1,0,1,,,0,FALSE,4.6796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.095"",""0.402"",""0.730"",""0.811""]","[1,1,0,1]",0,5,5,5,1,1,0,,,0,FALSE,4.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,,0,"[""0.095"",""0.402"",""0.652"",""0.259""]","[1,1,1,0]",0,6,6,6,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.749"",""0.402"",""0.652"",""0.811""]","[0,1,1,1]",0,7,7,7,1,1,0,,,0,FALSE,6.4088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616f2006b4373ed092c75910,001,2022-04-29_03h00.07.794,classification_task,2021.2.3,Win32,60.0132029,616f2006b4373ed092c75910,626b377229c10585ec392f8a,626b3825e869e48ade68b1df,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.740"",""0.503"",""0.937"",""0.971""]","[0,1,1,1]",0,8,8,8,1,0,1,,,0,FALSE,5.9288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
