usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,"[[""0.276"",""0.519"",""0.788"",""0.929""],[""0.183"",""0.410"",""0.753"",""0.892""]]","[[""0.103"",""0.142"",""0.464"",""0.699""],[""0.069"",""0.330"",""0.657"",""0.830""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Monster Hunter World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,15.1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,17.6309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,21.5217,space,6.9655,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,6.5464,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,18.4786,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,5.9465,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,24.8374,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,9.3769,l,1,2.8095,"[""0.069"",""0.330"",""0.576"",""0.830""]","[1,1,0,1]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.4588,"[""0.103"",""0.142"",""0.464"",""0.239""]","[1,1,1,0]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.1866,"[""0.069"",""0.330"",""0.657"",""0.612""]","[1,1,1,0]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.183"",""0.964"",""0.753"",""0.892""]","[1,0,1,1]",0,3,3,3,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.2994,"[""0.276"",""0.964"",""0.788"",""0.929""]","[1,0,1,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,5.7433,"[""0.238"",""0.330"",""0.657"",""0.830""]","[0,1,1,1]",0,5,5,5,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.970"",""0.142"",""0.464"",""0.699""]","[0,1,1,1]",0,6,6,6,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.0307,"[""0.276"",""0.519"",""0.788"",""0.217""]","[1,1,1,0]",0,7,7,7,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,8.2438,"[""0.103"",""0.028"",""0.464"",""0.699""]","[1,0,1,1]",0,8,8,8,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.8348,"[""0.587"",""0.410"",""0.753"",""0.892""]","[0,1,1,1]",0,9,9,9,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.2444,"[""0.964"",""0.519"",""0.788"",""0.929""]","[0,1,1,1]",0,10,10,10,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.9234,"[""0.183"",""0.410"",""0.753"",""0.217""]","[1,1,1,0]",0,11,11,11,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.6718,"[""0.103"",""0.142"",""0.964"",""0.699""]","[1,1,0,1]",0,12,12,12,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.7104,"[""0.069"",""0.587"",""0.657"",""0.830""]","[1,0,1,1]",0,13,13,13,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.1449,"[""0.183"",""0.410"",""0.217"",""0.892""]","[1,1,0,1]",0,14,14,14,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.8322,"[""0.276"",""0.519"",""0.238"",""0.929""]","[1,1,0,1]",0,15,15,15,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.1068,"[""0.103"",""0.142"",""0.464"",""0.030""]","[1,1,1,0]",0,16,16,16,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.2288,"[""0.183"",""0.410"",""0.612"",""0.892""]","[1,1,0,1]",0,17,17,17,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.9866,"[""0.612"",""0.142"",""0.464"",""0.699""]","[0,1,1,1]",0,18,18,18,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170c9123edfc3ee296cda22,627c6939733d547a7ecbc414,2022-05-11_20h56.36.168,classification_task,2021.2.3,Win32,59.9880024,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.6591,"[""0.183"",""0.410"",""0.753"",""0.554""]","[1,1,1,0]",0,19,19,19,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
