usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,"[[""0.164"",""0.545"",""0.842"",""0.888""],[""0.201"",""0.510"",""0.941"",""0.974""]]","[[""0.078"",""0.125"",""0.597"",""0.741""],[""0.034"",""0.364"",""0.467"",""0.689""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,29.8927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,35.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,58.6484,space,11.4188,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.7129,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,32.4632,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,20.8885,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,25.3577,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,167.9504,,0,"[""0.078"",""0.125"",""0.253"",""0.741""]","[1,1,0,1]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61715a02a3c88f5fb082a424,627c76debd5990ea8d3336b7,2022-05-12_04h58.03.561,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.164"",""0.545"",""0.314"",""0.888""]","[1,1,0,1]",0,1,1,1,1,0,0,,,0,FALSE,3.3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
