usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,key_resp_3.rt,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,"[[""0.261"",""0.362"",""0.827"",""0.908""],[""0.306"",""0.397"",""0.867"",""0.972""]]","[[""0.068"",""0.113"",""0.499"",""0.703""],[""0.025"",""0.158"",""0.593"",""0.773""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Catan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,14.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,19.3639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,26.6465,space,11.1833,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,6.7013,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,37.0591,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,6.4831,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,15.7997,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,23.1433,l,1,3.1165,"[""0.025"",""0.633"",""0.593"",""0.773""]","[1,0,1,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.261"",""0.362"",""0.198"",""0.908""]","[1,1,0,1]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.9651,"[""0.224"",""0.362"",""0.827"",""0.908""]","[0,1,1,1]",0,2,2,2,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.9006,"[""0.261"",""0.639"",""0.827"",""0.908""]","[1,0,1,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,2.6833,"[""0.261"",""0.362"",""0.827"",""0.639""]","[1,1,1,0]",0,4,4,4,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,4.682,"[""0.196"",""0.113"",""0.499"",""0.703""]","[0,1,1,1]",0,5,5,5,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.9168,"[""0.637"",""0.397"",""0.867"",""0.972""]","[0,1,1,1]",0,6,6,6,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,3.1836,"[""0.306"",""0.397"",""0.198"",""0.972""]","[1,1,0,1]",0,7,7,7,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
