usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,"[[""0.278"",""0.554"",""0.700"",""0.941""],[""0.167"",""0.357"",""0.852"",""0.888""]]","[[""0.039"",""0.074"",""0.647"",""0.819""],[""0.120"",""0.319"",""0.476"",""0.739""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,99.2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,102.9511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,37.0143,space,15.5813,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,10.9988,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61734e733cc29eb67f354f82,627c703abe43ac8ecac5d737,2022-05-11_21h26.35.405,classification_task,2021.2.3,Win32,59.99160118,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,63.5657,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
