usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,"[[""0.322"",""0.478"",""0.687"",""0.876""],[""0.179"",""0.404"",""0.911"",""0.945""]]","[[""0.106"",""0.368"",""0.646"",""0.768""],[""0.066"",""0.238"",""0.523"",""0.721""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Halo infinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,23.5277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,26.6577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,25.0816,space,5.9663,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,5.6161,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,20.004,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,3.4029,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,1.389,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,2.0892,l,1,5.4116,"[""0.106"",""0.368"",""0.646"",""0.820""]","[1,1,1,0]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,4.963,"[""0.843"",""0.368"",""0.646"",""0.768""]","[0,1,1,1]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.9714,"[""0.066"",""0.238"",""0.523"",""0.812""]","[1,1,1,0]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.4886,"[""0.066"",""0.238"",""0.443"",""0.721""]","[1,1,0,1]",0,3,3,3,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.1835,"[""0.179"",""0.404"",""0.911"",""0.843""]","[1,1,1,0]",0,4,4,4,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.9851,"[""0.322"",""0.478"",""0.687"",""0.804""]","[1,1,1,0]",0,5,5,5,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.7568,"[""0.843"",""0.478"",""0.687"",""0.876""]","[0,1,1,1]",0,6,6,6,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.8161,"[""0.179"",""0.404"",""0.600"",""0.945""]","[1,1,0,1]",0,7,7,7,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.2678,"[""0.322"",""0.831"",""0.687"",""0.876""]","[1,0,1,1]",0,8,8,8,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.2451,"[""0.179"",""0.437"",""0.911"",""0.945""]","[1,0,1,1]",0,9,9,9,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.5058,"[""0.106"",""0.843"",""0.646"",""0.768""]","[1,0,1,1]",0,10,10,10,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.1423,"[""0.066"",""0.600"",""0.523"",""0.721""]","[1,0,1,1]",0,11,11,11,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175ef3720a77a161dbe7cdc,627c6f20d1967c145333bea1,2022-05-11_21h22.00.046,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.6431,"[""0.443"",""0.238"",""0.523"",""0.721""]","[0,1,1,1]",0,12,12,12,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
