usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,"[[""0.304"",""0.389"",""0.763"",""0.939""],[""0.170"",""0.356"",""0.868"",""0.973""]]","[[""0.126"",""0.206"",""0.496"",""0.720""],[""0.089"",""0.267"",""0.597"",""0.805""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,FIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,Do you have any form of color blindness?,,,0.7,0,No,75.2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,81.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,space,36.8862,space,11.7297,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,space,13.315,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,space,16.5421,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,space,53.6531,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,space,22.5266,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,space,35.7017,l,1,5.8456,"[""0.126"",""0.206"",""0.633"",""0.720""]","[1,1,0,1]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,l,1,2.0168,"[""0.126"",""0.660"",""0.496"",""0.720""]","[1,0,1,1]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,a,1,2.0857,"[""0.304"",""0.389"",""0.763"",""0.429""]","[1,1,1,0]",0,2,2,2,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,a,1,4.8192,"[""0.170"",""0.356"",""0.680"",""0.973""]","[1,1,0,1]",0,3,3,3,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,a,1,2.7495,"[""0.304"",""0.537"",""0.763"",""0.939""]","[1,0,1,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,a,1,1.9755,"[""0.304"",""0.389"",""0.429"",""0.939""]","[1,1,0,1]",0,5,5,5,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,l,1,2.5129,"[""0.089"",""0.557"",""0.597"",""0.805""]","[1,0,1,1]",0,6,6,6,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,a,0,3.2092,"[""0.441"",""0.267"",""0.597"",""0.805""]","[0,1,1,1]",0,7,7,7,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,l,1,2.6075,"[""0.089"",""0.267"",""0.597"",""0.459""]","[1,1,1,0]",0,8,8,8,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,a,1,2.3246,"[""0.170"",""0.356"",""0.868"",""0.660""]","[1,1,1,0]",0,9,9,9,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arath,001,2022-04-28_20h07.51.426,classification_task,2021.2.3,Win32,59.76571838,614a5c83c64e6a1364367daa,626b377229c10585ec392f89,626b3a3192155742cf028b31,,,,,,,,,,,,,,,,,,,,,,,l,1,2.0494,"[""0.441"",""0.206"",""0.496"",""0.720""]","[0,1,1,1]",0,10,10,10,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
