usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,"[[""0.268"",""0.539"",""0.790"",""0.916""],[""0.175"",""0.367"",""0.615"",""0.956""]]","[[""0.077"",""0.330"",""0.500"",""0.711""],[""0.140"",""0.223"",""0.449"",""0.842""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,league of legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,Do you have any form of color blindness?,,,0.7,0,No,56.9223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,59.7288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,,,,,,,,space,25.8094,space,6.1834,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,,,,,,,,,,space,7.3483,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNRobi,001,2022-04-29_04h38.35.363,classification_task,2021.2.3,Win32,119.9616123,59bda1adab8d830001fe5e4b,626b377229c10585ec392f89,626b4f55ded97edb650b23d1,,,,,,,,,,,,,,space,17.3651,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
