usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,"[[""0.206"",""0.556"",""0.700"",""0.853""],[""0.168"",""0.415"",""0.896"",""0.945""]]","[[""0.079"",""0.358"",""0.521"",""0.793""],[""0.045"",""0.296"",""0.645"",""0.738""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,FIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.8551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,29.3806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,space,52.2618,space,15.5693,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,space,11.3348,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,space,16.0473,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,space,17.9274,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,space,21.4358,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,space,21.6566,a,0,4.427,"[""0.079"",""0.358"",""0.521"",""0.479""]","[1,1,1,0]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2935,"[""0.458"",""0.556"",""0.700"",""0.853""]","[0,1,1,1]",0,1,1,1,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,l,0,0.9009,"[""0.608"",""0.415"",""0.896"",""0.945""]","[0,1,1,1]",0,2,2,2,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7492,"[""0.168"",""0.608"",""0.896"",""0.945""]","[1,0,1,1]",0,3,3,3,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,l,0,1.0436,"[""0.168"",""0.415"",""0.608"",""0.945""]","[1,1,0,1]",0,4,4,4,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,0,0.5782,"[""0.079"",""0.253"",""0.521"",""0.793""]","[1,0,1,1]",0,5,5,5,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,0,0.9642,"[""0.045"",""0.296"",""0.260"",""0.738""]","[1,1,0,1]",0,6,6,6,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,l,0,1.2315,"[""0.206"",""0.556"",""0.700"",""0.245""]","[1,1,1,0]",0,7,7,7,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,0,0.9296,"[""0.594"",""0.358"",""0.521"",""0.793""]","[0,1,1,1]",0,8,8,8,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,0,1.3109,"[""0.045"",""0.115"",""0.645"",""0.738""]","[1,0,1,1]",0,9,9,9,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,l,1,1.464,"[""0.079"",""0.358"",""0.458"",""0.793""]","[1,1,0,1]",0,10,10,10,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,l,0,1.1199,"[""0.206"",""0.133"",""0.700"",""0.853""]","[1,0,1,1]",0,11,11,11,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2012,"[""0.485"",""0.296"",""0.645"",""0.738""]","[0,1,1,1]",0,12,12,12,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,1,0.866,"[""0.206"",""0.556"",""0.260"",""0.853""]","[1,1,0,1]",0,13,13,13,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2002,"[""0.168"",""0.415"",""0.896"",""0.458""]","[1,1,1,0]",0,14,14,14,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,a,0,0.9134,"[""0.045"",""0.296"",""0.645"",""0.458""]","[1,1,1,0]",0,15,15,15,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liseman Mhlongo,001,2022-04-29_03h02.58.700,classification_task,2021.2.3,Win32,60.04202942,60f4ac44348aacd594c61bb5,626b377229c10585ec392f89,626b38f119540aab4db94569,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0119,"[""0.045"",""0.594"",""0.645"",""0.738""]","[1,0,1,1]",0,16,16,16,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
