usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,"[[""0.309"",""0.489"",""0.882"",""0.937""],[""0.167"",""0.444"",""0.624"",""0.973""]]","[[""0.119"",""0.251"",""0.667"",""0.742""],[""0.035"",""0.401"",""0.538"",""0.836""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Assassins Creed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,Do you have any form of color blindness?,,,0.7,0,No,25.4611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,34.3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,space,30.1018,space,13.7433,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,space,17.7377,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,space,33.761,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,space,12.1434,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,space,15.456,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,,,,,,,,space,7.5052,,0,"[""0.035"",""0.401"",""0.585"",""0.836""]","[1,1,0,1]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.350"",""0.251"",""0.667"",""0.742""]","[0,1,1,1]",0,1,1,1,1,1,0,,,0,FALSE,9.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.309"",""0.489"",""0.882"",""0.367""]","[1,1,1,0]",0,2,2,2,1,0,0,,,0,FALSE,8.0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuno,001,2022-04-29_02h11.22.523,classification_task,2021.2.3,Win32,60.12867537,60dca369b9600da1094e4dd9,626b377229c10585ec392f89,626b3ae5070cd1565718f012,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.119"",""0.251"",""0.350"",""0.742""]","[1,1,0,1]",0,3,3,3,1,1,0,,,0,FALSE,3.5477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
