usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,"[[""0.252"",""0.448"",""0.886"",""0.973""],[""0.164"",""0.332"",""0.701"",""0.930""]]","[[""0.025"",""0.218"",""0.522"",""0.737""],[""0.064"",""0.365"",""0.583"",""0.782""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,"FIFA 20, GTA V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,Do you have any form of color blindness?,,,0.7,0,No,36.6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,42.9956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,,,,,,,,space,50.3286,space,7.5345,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,,,,,,,,,,space,10.7767,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One,001,2022-04-29_03h15.01.961,classification_task,2021.2.3,Win32,60.0060006,60fc0722f872d38b39a82c8d,626b377229c10585ec392f89,626b3b0f327281b47670ba1f,,,,,,,,,,,,,,space,38.2844,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
