usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PARTICIPANT,STUDY_ID,SESSION,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
TRUE,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,"[[""0.183"",""0.360"",""0.893"",""0.929""],[""0.229"",""0.565"",""0.672"",""0.966""]]","[[""0.135"",""0.410"",""0.521"",""0.763""],[""0.050"",""0.296"",""0.465"",""0.843""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,Do you have any form of color blindness?,,,0.7,0,Yes,5.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,6.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,space,0.544,space,0.149,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,space,0.049,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,space,0.138,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,space,0.082,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,space,0.039,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,space,0.449,a,0,0.543,"[""0.135"",""0.410"",""0.727"",""0.763""]","[1,1,0,1]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.183,"[""0.135"",""0.410"",""0.521"",""0.634""]","[1,1,1,0]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.09,"[""0.084"",""0.360"",""0.893"",""0.929""]","[0,1,1,1]",0,2,2,2,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.125,"[""0.183"",""0.360"",""0.605"",""0.929""]","[1,1,0,1]",0,3,3,3,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.155,"[""0.050"",""0.296"",""0.721"",""0.843""]","[1,1,0,1]",0,4,4,4,1,1,1,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.153,"[""0.729"",""0.410"",""0.521"",""0.763""]","[0,1,1,1]",0,5,5,5,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.133,"[""0.135"",""0.634"",""0.521"",""0.763""]","[1,0,1,1]",0,6,6,6,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.094,"[""0.050"",""0.296"",""0.465"",""0.634""]","[1,1,1,0]",0,7,7,7,1,1,1,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.132,"[""0.183"",""0.605"",""0.893"",""0.929""]","[1,0,1,1]",0,8,8,8,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.163,"[""0.229"",""0.096"",""0.672"",""0.966""]","[1,0,1,1]",0,9,9,9,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.152,"[""0.727"",""0.565"",""0.672"",""0.966""]","[0,1,1,1]",0,10,10,10,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.094,"[""0.229"",""0.565"",""0.672"",""0.605""]","[1,1,1,0]",0,11,11,11,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.146,"[""0.183"",""0.360"",""0.893"",""0.605""]","[1,1,1,0]",0,12,12,12,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,,001,2022-05-12_11h02.53.173,classification_task,2021.2.3,Win32,59.95203837,IGNORE,1,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.053,"[""0.229"",""0.565"",""0.605"",""0.966""]","[1,1,0,1]",0,13,13,13,1,0,1,,,0,FALSE,,,,,,,,,,,,,
