usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,"[[""0.266"",""0.542"",""0.584"",""0.882""],[""0.161"",""0.399"",""0.674"",""0.966""]]","[[""0.080"",""0.223"",""0.634"",""0.711""],[""0.044"",""0.333"",""0.443"",""0.824""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Overcooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,27.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,,,,,,,,space,27.03,space,7.127,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,,,,,,,,,,space,10.82,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,001,2022-04-28_21h13.56.147,classification_task,2021.2.3,MacIntel,76.92307692,5e7bbca73554b20a08fc2f64,626b377229c10585ec392f8a,626b3b86b2fbd86f2a040545,,,,,,,,,,,,,,space,25.545,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
