usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,"[[""0.165"",""0.507"",""0.797"",""0.891""],[""0.281"",""0.544"",""0.852"",""0.954""]]","[[""0.097"",""0.401"",""0.599"",""0.695""],[""0.030"",""0.223"",""0.461"",""0.739""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Lords Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,Do you have any form of color blindness?,,,0.7,0,No,49.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,55.0158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,space,82.1647,space,16.1548,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,space,24.7654,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,space,43.8514,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,space,36.6899,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,space,16.6256,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,space,4.3505,,0,"[""0.641"",""0.507"",""0.797"",""0.891""]","[0,1,1,1]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.097"",""0.401"",""0.351"",""0.695""]","[1,1,0,1]",0,1,1,1,1,1,0,,,0,FALSE,3.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.281"",""0.544"",""0.852"",""0.648""]","[1,1,1,0]",0,2,2,2,1,0,1,,,0,FALSE,3.3385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.097"",""0.401"",""0.599"",""0.648""]","[1,1,1,0]",0,3,3,3,1,1,0,,,0,FALSE,1.8151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.097"",""0.651"",""0.599"",""0.695""]","[1,0,1,1]",0,4,4,4,1,1,0,,,0,FALSE,4.1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.281"",""0.544"",""0.351"",""0.954""]","[1,1,0,1]",0,5,5,5,1,0,1,,,0,FALSE,4.1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.639"",""0.223"",""0.461"",""0.739""]","[0,1,1,1]",0,6,6,6,1,1,1,,,0,FALSE,2.7321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.165"",""0.354"",""0.797"",""0.891""]","[1,0,1,1]",0,7,7,7,1,0,0,,,0,FALSE,2.1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.030"",""0.223"",""0.322"",""0.739""]","[1,1,0,1]",0,8,8,8,1,1,1,,,0,FALSE,2.7103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.640"",""0.401"",""0.599"",""0.695""]","[0,1,1,1]",0,9,9,9,1,1,0,,,0,FALSE,2.8032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.165"",""0.507"",""0.797"",""0.648""]","[1,1,1,0]",0,10,10,10,1,0,0,,,0,FALSE,4.1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.165"",""0.507"",""0.640"",""0.891""]","[1,1,0,1]",0,11,11,11,1,0,0,,,0,FALSE,3.6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.030"",""0.223"",""0.461"",""0.346""]","[1,1,1,0]",0,12,12,12,1,1,1,,,0,FALSE,6.1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.030"",""0.640"",""0.461"",""0.739""]","[1,0,1,1]",0,13,13,13,1,1,1,,,0,FALSE,3.5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.281"",""0.645"",""0.852"",""0.954""]","[1,0,1,1]",0,14,14,14,1,0,1,,,0,FALSE,3.2362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.323"",""0.544"",""0.852"",""0.954""]","[0,1,1,1]",0,15,15,15,1,0,1,,,0,FALSE,2.1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.354"",""0.544"",""0.852"",""0.954""]","[0,1,1,1]",0,16,16,16,1,0,1,,,0,FALSE,2.6731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TSN,001,2022-04-29_02h04.37.031,classification_task,2021.2.3,Win32,60.20107158,601e093a31a2902413e15c08,626b377229c10585ec392f89,626b397d7d06b109ead310b9,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.165"",""0.507"",""0.351"",""0.891""]","[1,1,0,1]",0,17,17,17,1,0,0,,,0,FALSE,1.8659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
