usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,"[[""0.308"",""0.534"",""0.568"",""0.910""],[""0.182"",""0.359"",""0.869"",""0.954""]]","[[""0.064"",""0.220"",""0.463"",""0.822""],[""0.107"",""0.394"",""0.604"",""0.766""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,The sims 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,Do you have any form of color blindness?,,,0.7,0,No,31.6608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,35.5666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,,,,,,,,space,111.5855,space,10.8577,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,,,,,,,,,,space,10.0663,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vania Acosta,001,2022-04-28_21h16.54.612,classification_task,2021.2.3,Win32,60.14675809,5f264332488e13372281c1c8,626b377229c10585ec392f8a,626b3c40b0c628ea2af49a9c,,,,,,,,,,,,,,space,16.78,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
