usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,"[[""0.256"",""0.475"",""0.766"",""0.944""],[""0.171"",""0.427"",""0.873"",""0.908""]]","[[""0.054"",""0.383"",""0.516"",""0.822""],[""0.097"",""0.329"",""0.641"",""0.685""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,starcraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,Do you have any form of color blindness?,,,0.7,0,No,26.3869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,27.0799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,space,28.7292,space,7.3862,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,space,8.2832,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,space,40.1208,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,space,9.7637,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,space,10.3106,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,,,,,,,,space,10.8505,l,1,3.2947,"[""0.097"",""0.329"",""0.550"",""0.685""]","[1,1,0,1]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,,,,,,,,,,l,1,4.2817,"[""0.097"",""0.585"",""0.641"",""0.685""]","[1,0,1,1]",0,1,1,1,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,001,2022-04-28_21h09.24.041,classification_task,2021.2.3,Win32,74.97375918,5e96195dd7dbe00939d9f042,626b377229c10585ec392f89,626b3aaee8b54ad2720a8215,,,,,,,,,,,,,,,,,,,,,,,a,0,7.0941,"[""0.097"",""0.329"",""0.641"",""0.138""]","[1,1,1,0]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
