usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial
TRUE,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,"[[""0.229"",""0.475"",""0.909"",""0.948""],[""0.189"",""0.558"",""0.713"",""0.855""]]","[[""0.148"",""0.343"",""0.511"",""0.814""],[""0.073"",""0.307"",""0.632"",""0.757""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,fds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,fdsfds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Do you have any form of color blindness?,,,0.7,0,Yes,1.727,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,2.142,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,space,0.364,space,1.043,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,space,0.081,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,space,0.066,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,space,0.193,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,space,0.01,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h09.50.773,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,space,0.172,a,0,0.584,"[""0.073"",""0.397"",""0.632"",""0.757""]","[1,0,1,1]",0,0,0,0,1,1,1,,,0,FALSE
