usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,key_resp_3.rt,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,"[[""0.239"",""0.473"",""0.655"",""0.884""],[""0.164"",""0.351"",""0.807"",""0.970""]]","[[""0.116"",""0.285"",""0.550"",""0.750""],[""0.050"",""0.413"",""0.592"",""0.701""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,fsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,fds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Do you have any form of color blindness?,,,0.7,0,Yes,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,space,0.415,space,0.087,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,space,0.428,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,space,0.181,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
