usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,"[[""0.214"",""0.354"",""0.844"",""0.941""],[""0.173"",""0.448"",""0.779"",""0.893""]]","[[""0.059"",""0.251"",""0.506"",""0.691""],[""0.130"",""0.303"",""0.569"",""0.738""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,counter strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,Do you have any form of color blindness?,,,0.7,0,No,19.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,21.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,space,12.33,space,10.775,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,space,6.758,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,space,10.117,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,space,8.397,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,space,19.495,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,space,4.502,l,1,1.101,"[""0.130"",""0.974"",""0.569"",""0.738""]","[1,0,1,1]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,a,0,1.253,"[""0.059"",""0.251"",""0.974"",""0.691""]","[1,1,0,1]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,a,1,1.212,"[""0.173"",""0.448"",""0.779"",""0.403""]","[1,1,1,0]",0,2,2,2,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,l,0,0.646,"[""0.616"",""0.354"",""0.844"",""0.941""]","[0,1,1,1]",0,3,3,3,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,a,0,1.416,"[""0.130"",""0.303"",""0.635"",""0.738""]","[1,1,0,1]",0,4,4,4,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,l,0,0.87,"[""0.214"",""0.974"",""0.844"",""0.941""]","[1,0,1,1]",0,5,5,5,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,a,1,1.408,"[""0.173"",""0.448"",""0.644"",""0.893""]","[1,1,0,1]",0,6,6,6,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,a,0,1.088,"[""0.611"",""0.303"",""0.569"",""0.738""]","[0,1,1,1]",0,7,7,7,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,l,0,1.009,"[""0.214"",""0.354"",""0.637"",""0.941""]","[1,1,0,1]",0,8,8,8,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,l,1,1.163,"[""0.404"",""0.251"",""0.506"",""0.691""]","[0,1,1,1]",0,9,9,9,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,a,1,1.222,"[""0.655"",""0.448"",""0.779"",""0.893""]","[0,1,1,1]",0,10,10,10,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sergio,001,2022-04-29_03h07.35.271,classification_task,2021.2.3,Win32,73.96449704,5f91fcfd4bc991107c2bbd47,626b377229c10585ec392f89,626b38ba6871a29d61042c8b,,,,,,,,,,,,,,,,,,,,,,,a,1,2.001,"[""0.214"",""0.354"",""0.844"",""0.644""]","[1,1,1,0]",0,11,11,11,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
